"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.01901583333,0.6796230447,-1.270426299,-3.479811936,3.766292816
0.02900783331,0.1661919022,-1.085293511,-3.621182992,3.783972518
0.03899883333,0.1564311451,-1.02759728,-3.757242438,3.898371149
0.04899083331,0.4648016042,-1.068063521,-3.80922594,3.983340617
0.05898283332,0.8793341106,-0.9379004073,-3.782650344,3.995163236
0.06897383332,1.223900589,-0.5593785632,-3.638364451,3.879243857
0.07896583332,1.491413044,-0.1155000508,-3.426343242,3.738646967
0.08895783333,1.402403803,0.2464893758,-3.189249757,3.492679122
0.09894883333,1.119025221,0.4627235037,-2.925861928,3.166543622
0.1089408333,0.8814203972,0.5943186003,-2.665937989,2.870076981
0.1189328333,0.4248972809,0.782904169,-2.343564034,2.507143597
0.1289238333,-0.3423018515,0.9085821757,-1.939427292,2.168886891
0.1389158333,-0.9126465753,0.904957779,-1.629167013,2.075104216
0.1489078333,-1.038773648,0.7704253337,-1.420742426,1.921227453
0.1588988333,-0.9664049989,0.5603971481,-1.259439381,1.68349967
0.1688908333,-0.9693850324,0.3269070098,-0.9174035776,1.374119667
0.1788828333,-0.8076577717,0.2543951038,-0.6127618879,1.045229676
0.1888738333,-0.7459892347,0.5001904151,-0.3027296501,0.9478056925
0.1988658333,-0.9008521566,0.5658140087,0.2681006849,1.097067946
0.2088578333,-1.258460849,0.6235423994,1.119541238,1.796079457
0.2188488333,-1.753971738,0.7615527686,2.428127636,3.090660656
0.2288408333,-1.973672972,1.05747012,3.569163238,4.213378013
0.2388328333,-1.787070487,1.552774894,4.121681848,4.753208606
0.2488238333,-1.325483097,2.06466588,4.520349104,5.143277813
0.2588158333,-0.7776507381,2.417975115,5.459763941,6.021658128
0.2688078333,-0.2492789362,2.421058352,6.671565471,7.101651171
0.2787988333,0.09580224305,1.912578924,7.452771608,7.694864577
0.2887908333,0.1944973961,0.9050276533,7.375773718,7.433635869
0.2987818333,-0.07685068622,-0.2111844724,6.709826726,6.713589175
0.3087738333,-0.1935729513,-1.059415196,5.868011275,5.966019391
0.3187658333,0.161769653,-1.994032977,4.83540527,5.232922803
0.3287568333,0.611188256,-3.269328837,3.950043265,5.163807115
0.3387488333,0.9799373563,-3.943984964,3.237994485,5.19614308
0.3487408333,1.082355139,-3.726927256,2.526710522,4.630955137
0.3587318333,0.6529210036,-3.093871729,2.123361985,3.808807456
